lag_steps,autocorrelation
113,0.6245275083725799
114,0.6254581379478399
115,0.6263822592708934
116,0.6272974030259254
117,0.6281930111790507
118,0.6290685316797837
119,0.6299214412444175
120,0.6307374879612045
121,0.6315064809797631
122,0.6322255093440806
123,0.6328845357989302
124,0.6334737668114139
125,0.6339981768720641
126,0.6344530073293655
127,0.6348274363106513
128,0.6351066922438968
129,0.6352841177922488
130,0.6353635594382139
131,0.6353394271381373
132,0.6352076826959939
133,0.6349659979647518
134,0.6345980516625634
135,0.634094456455373
136,0.6334542788646662
137,0.6326830559281148
138,0.6317687916849535
139,0.6307124912966077
140,0.6295128141130164
141,0.6281622666230862
142,0.626651555764652
143,0.6249831108587245
144,0.6231600769080172
145,0.6220215549155025
146,0.620712126149136
147,0.6192361939821491
148,0.6176025433678358
149,0.6158160484871708
150,0.6138794110399334
151,0.6117887516483194
152,0.6095407051403307
153,0.6071462239110895
154,0.6046121954096249
155,0.601942606703121
156,0.599149828950425
157,0.5962430360353831
158,0.5932162467886613
159,0.5900790445270722
160,0.5868378382380955
161,0.5835023877986684
162,0.5800754161475321
163,0.5765523248312722
164,0.5729439379007345
165,0.5692572155844069
166,0.5654994390919252
167,0.5616709956062572
168,0.5577852928416771
169,0.5538438099364528
170,0.5498564814149709
171,0.5458346225942603
172,0.5417816299151881
173,0.5376912398147461
174,0.5335630811715114
175,0.5294051017172346
176,0.5252230016877785
177,0.5210189876385907
178,0.5168076388417552
179,0.5125816489631839
180,0.5083370376668188
181,0.5040777927332639
182,0.49981220646557023
183,0.49554386226833513
184,0.4912715634549316
185,0.4870024443231437
186,0.48275179626938297
187,0.47852647211390187
188,0.474325838277907
189,0.47016067550495066
190,0.4660317422651685
191,0.4619382869559341
192,0.45789085719514916
193,0.45389246614030476
194,0.4499507226845481
195,0.44606560101979714
196,0.44223918141343654
197,0.4384835066988294
198,0.4348023814037909
199,0.4311967207627882
200,0.42766016461163314
201,0.4242082389614631
202,0.4208509529777342
203,0.4175871342446902
204,0.4144298544134455
205,0.4113850648637833
206,0.4084464604350688
207,0.40561580054515217
208,0.4029053706258938
209,0.4003276417148532
210,0.3978701369184538
211,0.3955334321405272
212,0.3933092622570013
213,0.3912077597919635
214,0.3892406568491529
215,0.38740564207721456
216,0.385682742217764
217,0.3840777039364216
218,0.38260331715307794
219,0.3812494531398301
220,0.3800309103076008
221,0.3789527273652121
222,0.3780154302754294
223,0.3772141583352
224,0.3765372998503395
225,0.37597224930131523
226,0.3755302776095526
227,0.3752140035640922
228,0.37501668117768777
229,0.37492488493841797
230,0.37495749264798084
231,0.3751152391728548
232,0.3753759032780384
233,0.37574529363163545
234,0.3762237054890482
235,0.37679268738523997
236,0.3774484876348311
237,0.37818289815965295
238,0.3789983214822651
239,0.37988619869354856
240,0.3808418218519643
241,0.3818639864278898
242,0.382957189328604
243,0.38411764787626507
244,0.3853373669174475
245,0.38660790278016527
246,0.38792675566369084
247,0.3892890105758896
248,0.3906890676444728
249,0.39212153865799826
250,0.3935864846111353
251,0.39507271426074586
252,0.39658050092357666
253,0.39811019005536136
254,0.3996603795750014
255,0.40121339522517196
256,0.4027663885609196
257,0.40431590890746627
258,0.405860996922229
259,0.40740407034671955
260,0.40894400733481145
261,0.4104697387979091
262,0.41196834163790097
263,0.4134226627561378
264,0.41482905713511947
265,0.4161960050038052
266,0.41751615304574957
267,0.4187776159507624
268,0.4199759015814977
269,0.4211148153987224
270,0.4221864912420607
271,0.4231753357467445
272,0.42407596652066937
273,0.42488812228246053
274,0.4256092715434224
275,0.4262318307105168
276,0.42674690992336467
277,0.4271411309269761
278,0.4274147675930911
279,0.4275646603504603
280,0.42759382034870813
281,0.4274951060065018
282,0.427270068213722
283,0.42691265891946395
284,0.42642361556712005
285,0.4257959027263374
286,0.42502909335867484
287,0.4241215559915263
288,0.4230911039679842
